"Case_Type","Cases","Difference","Date","Province_State","Admin2","Lat","Long"
"Confirmed",0,0,2020-01-22,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-23,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-24,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-25,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-26,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-27,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-28,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-29,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-30,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-31,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-01,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-02,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-03,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-04,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-05,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-06,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-07,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-08,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-09,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-10,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-11,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-12,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-02-13,"Colorado","Adams",39.87432092,-104.3362578
